goal_eng,goal_fre,accepted_values,  target_value , duration_type , duration ,achievement_tags,category_name,category_level_name,evaluation_name_eng,evaluation_name_fre,evaluation_level_name ,evaluation_group_name_eng,evaluation_group_name_fre
"Fwd stationary blade push (T, V or L) R","Poussée avant de la lame en position stationnaire (T, V ou L) D"," a:1:{s:4:""type"";s:4:""bool"";}                                                                                                                                  ",1, Months        ,1, CanSkate 3 - Balance                                           , CanSkate                                            , CanSkate 3                                                                                     ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 3 ,CanSkate 3 - Balance,Patinage plus étape 3 - Équilibre
"Fwd stationary blade push (T, V or L) L","Poussée avant de la lame en position stationnaire (T, V ou L) G"," a:1:{s:4:""type"";s:4:""bool"";}                                                                                                                                  ",1, Months        ,1, CanSkate 3 - Balance                                           , CanSkate                                            , CanSkate 3                                                                                     ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 3 ,CanSkate 3 - Balance,Patinage plus étape 3 - Équilibre
Fwd 2-ft slalom,Slalom avant sur deux pieds," a:1:{s:4:""type"";s:4:""bool"";} ",1, Months ,1, CanSkate 3 - Balance , CanSkate  , CanSkate 3     ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 3 ,CanSkate 3 - Balance,Patinage plus étape 3 - Équilibre
Fwd circle thrusts CW,Fortes poussées avant sur un cercle SA," a:1:{s:4:""type"";s:4:""bool"";} ",1, Months ,1, CanSkate 3 - Balance , CanSkate  , CanSkate 3     ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 3 ,CanSkate 3 - Balance,Patinage plus étape 3 - Équilibre
Fwd circle thrusts CWW,Fortes poussées avant sur un cercle SCA," a:1:{s:4:""type"";s:4:""bool"";}                                                              ",1, Months        ,1, CanSkate 3 - Balance                                           , CanSkate                                            , CanSkate 3                                                            ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 3 ,CanSkate 3 - Balance,Patinage plus étape 3 - Équilibre
Walking crosscuts R,Croisés marchés D," a:1:{s:4:""type"";s:4:""bool"";}   ",1, Months        ,1, CanSkate 3 - Balance   , CanSkate   , CanSkate 3     ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 3 ,CanSkate 3 - Balance,Patinage plus étape 3 - Équilibre
Walking crosscuts L,Croisés marchés G," a:1:{s:4:""type"";s:4:""bool"";}                                                                                                                                  ",1, Months        ,1, CanSkate 3 - Balance                                           , CanSkate                                            , CanSkate 3                                                             ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 3 ,CanSkate 3 - Balance,Patinage plus étape 3 - Équilibre
Fwd 2-ft to 1-ft curve glide R,Glisse avant de deux pieds à un pied sur une courbe D," a:1:{s:4:""type"";s:4:""bool"";}                                                                                                                                  ",1, Months        ,1, CanSkate 3 - Balance                                           , CanSkate                                            , CanSkate 3                                                            ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 3 ,CanSkate 3 - Balance,Patinage plus étape 3 - Équilibre
Fwd 2-ft to 1-ft curve glide L,Glisse avant de deux pieds à un pied sur une courbe G," a:1:{s:4:""type"";s:4:""bool"";}                                                                                                                                  ",1, Months        ,1, CanSkate 3 - Balance                                           , CanSkate                                            , CanSkate 3                                                             ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 3 ,CanSkate 3 - Balance,Patinage plus étape 3 - Équilibre
Fwd crosscuts CW,Croisés avant SA," a:1:{s:4:""type"";s:4:""bool"";}                                                                                                                                  ",1, Months        ,1, CanSkate 4 - Balance                                           , CanSkate                                            , CanSkate 4                                                             ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 4 ,CanSkate 4 - Balance,Patinage plus étape 4 - Équilibre
